,Index Levels
2023-01-03,100
2023-01-04,100.00009858159146
2023-01-05,99.99804326638112
2023-01-06,99.94540934580404
2023-01-09,100.00826612184375
2023-01-10,100.00679343497825
2023-01-11,100.01764825196202
2023-01-12,100.04382265622996
2023-01-13,100.30936943301015
2023-01-17,100.40208204285726
2023-01-18,100.31449363741487
2023-01-19,100.4392962127655
2023-01-20,100.31555057595394
2023-01-23,100.34625960040863
2023-01-24,100.41559179685765
2023-01-25,100.48800839481697
2023-01-26,100.51218330341113
2023-01-27,100.57656307779283
2023-01-30,100.61782149385911
2023-01-31,100.84632267968026
2023-02-01,100.88074864312641
2023-02-02,100.76972580061114
2023-02-03,100.73467086819929
2023-02-06,100.97518069758095
2023-02-07,100.99625688067779
2023-02-08,100.95419227631376
2023-02-09,100.97439597091702
2023-02-10,101.19876436950379
2023-02-13,101.34619670876779
2023-02-14,101.4325758915886
2023-02-15,101.50228497231328
2023-02-16,101.38276666301701
2023-02-17,101.656037860599
2023-02-21,101.86545026734353
2023-02-22,101.97453845031447
2023-02-23,102.03836496370847
2023-02-24,102.15293243869739
2023-02-27,102.4467623671179
2023-02-28,102.57156113120195
2023-03-01,102.65890655351426
2023-03-02,102.936674588735
2023-03-03,102.49652834862457
2023-03-06,103.21924908627355
2023-03-07,103.2108176542051
2023-03-08,103.32995788104567
2023-03-09,102.82400249369772
2023-03-10,102.58615337615973
2023-03-13,103.02250428252552
2023-03-14,103.06234323568536
2023-03-15,103.37740091730065
2023-03-16,103.12870654557868
2023-03-17,103.14934871319603
2023-03-20,103.42709924138333
2023-03-21,103.30875267045691
2023-03-22,103.0335697621784
2023-03-23,103.26390023196419
2023-03-24,103.43334844634943
2023-03-27,103.80713115772936
2023-03-28,104.12091849705197
2023-03-29,103.8845626342208
2023-03-30,103.986318865149
2023-03-31,103.88779027769428
2023-04-03,104.28075314293216
2023-04-04,105.00694270216704
2023-04-05,105.15312179247555
2023-04-06,105.28743241821113
2023-04-10,106.10132718386095
2023-04-11,106.26861184350241
2023-04-12,106.44581261425505
2023-04-13,106.08013996975065
2023-04-14,106.34318949726654
2023-04-17,107.10423515082115
2023-04-18,107.25890575466624
2023-04-19,107.8534549246439
2023-04-20,108.1110563939457
2023-04-21,108.94170210422347
2023-04-24,109.95124592182312
2023-04-25,109.62242043225045
2023-04-26,110.17110517824923
2023-04-27,109.11935525824474
2023-04-28,109.36676045527201
2023-05-01,109.93495252607018
2023-05-02,110.02975932102737
2023-05-03,110.4071269865458
2023-05-04,111.06395728759657
2023-05-05,109.75424572440853
2023-05-08,110.1610350202462
2023-05-09,110.3840799119444
2023-05-10,110.31057429896585
2023-05-11,110.78985185345397
2023-05-12,111.02324717714751
2023-05-15,111.58056235793289
2023-05-16,111.92485333794411
2023-05-17,111.0105279477972
2023-05-18,110.33856052125611
2023-05-19,110.40640926098348
2023-05-22,110.73324179325046
2023-05-23,110.67294789158737
2023-05-24,110.76069345890637
2023-05-25,110.86923331380271
2023-05-26,110.23958587539354
2023-05-30,110.78946662599094
2023-05-31,111.01666814213696
2023-06-01,110.55629114778316
2023-06-02,109.58400822265178
2023-06-05,110.04813788282488
2023-06-06,110.01917490949269
2023-06-07,110.72464069027917
2023-06-08,110.39826955866137
2023-06-09,110.83774867483103
2023-06-12,110.27799085473795
2023-06-13,109.80346001583693
2023-06-14,110.02390220216826
2023-06-15,109.22876054925251
2023-06-16,108.95887413239728
2023-06-20,109.48729155622519
2023-06-21,109.54459357479776
2023-06-22,109.57252642048289
2023-06-23,109.60141105630312
2023-06-26,109.834879238796
2023-06-27,109.39990580461736
2023-06-28,109.4723439049992
2023-06-29,109.5008614176197
2023-06-30,109.09295843859691
2023-07-03,109.29674724570377
2023-07-05,109.44988884604916
2023-07-06,109.54944429528466
2023-07-07,109.939585514597
2023-07-10,110.18556600087975
2023-07-11,110.00115970482909
2023-07-12,109.899020097715
2023-07-13,109.57244509861943
2023-07-14,109.7554233893471
2023-07-17,109.85293988466046
2023-07-18,109.82145161667596
2023-07-19,109.82788128117159
2023-07-20,109.88373226703119
2023-07-21,110.00508134520318
2023-07-24,110.07214535260442
2023-07-25,110.04701670433957
2023-07-26,110.18630851877404
2023-07-27,110.29206796965548
2023-07-28,109.85588030615271
2023-07-31,110.16320833568119
2023-08-01,110.2966041593636
2023-08-02,110.144028944748
2023-08-03,110.35799783174745
2023-08-04,110.5033050223998
2023-08-07,110.33834372932515
2023-08-08,110.55496894295023
2023-08-09,110.91764237247837
2023-08-10,111.00022868721794
2023-08-11,111.1552620973068
2023-08-14,111.38957181553383
2023-08-15,111.39592561926028
2023-08-16,111.58222597408512
2023-08-17,111.86640967596144
2023-08-18,111.95929711877838
2023-08-21,112.16406196964178
2023-08-22,112.31040092854526
2023-08-23,112.18807773897213
2023-08-24,111.7196490466377
2023-08-25,111.75249436897012
2023-08-28,112.05263028411315
2023-08-29,111.47242773944312
2023-08-30,111.50945401419533
2023-08-31,111.7594517600805
2023-09-01,111.84756721631291
2023-09-05,112.50730529928121
2023-09-06,112.63497533164869
2023-09-07,112.79858942335625
2023-09-08,113.03456442224089
2023-09-11,113.54423886500163
2023-09-12,113.77419911404208
2023-09-13,113.96583013218901
2023-09-14,113.96999493913424
2023-09-15,113.30896944545988
2023-09-18,113.63554571217162
2023-09-19,113.87636814055412
2023-09-20,113.62152421981756
2023-09-21,112.73745100633306
2023-09-22,112.7719537463497
2023-09-25,113.07544401283245
2023-09-26,112.30344079918152
2023-09-27,112.55043835928994
